Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code,Date,USDINR,USDSGD,Price_INR,Price_SGD,Split_Adjusted_Close
Trades,Data,Order,Stocks,USD,MARA,"2024-12-12, 12:24:24",400.0,23.5,22.58,-9400.0,-2.200928,9402.200928,0.0,-368.0,O,2024-12-12,84.87,1.3448,1994.4450000000002,31.6028,22.579999923706055
Trades,Data,Order,Stocks,USD,MARA,"2024-12-12, 13:21:53",-400.0,23.72,22.58,9488.0,-2.56080937,-10234.200928,-748.761737,456.0,C;P,2024-12-12,84.87,1.3448,2013.1164,31.898656,22.579999923706055
Trades,Data,Order,Stocks,USD,MARA,"2024-12-16, 10:28:35",-500.0,25.03,24.56,12515.0,-3.22085953,-12402.75116,109.02798,235.0,C,2024-12-16,84.89,1.3501,2124.7967000000003,33.793003000000006,24.559999465942383
Trades,Data,Order,Stocks,USD,IBIT,"2024-12-18, 12:59:06",100.0,59.575,57.18,-5957.5,-1.097848,5958.597848,0.0,-239.5,O,2024-12-18,84.95,1.3507,5060.896250000001,80.46795250000001,57.18000030517578
Trades,Data,Order,Stocks,USD,MARA,"2024-12-18, 14:00:03",500.0,24.15,21.61,-12075.0,-2.75116,12077.75116,0.0,-1270.0,O;P,2024-12-18,84.95,1.3507,2051.5425,32.619405,21.610000610351562
Trades,Data,Order,Stocks,USD,MARA,"2024-12-18, 15:07:43",400.0,22.5,21.61,-9000.0,-2.200928,9002.200928,0.0,-356.0,O,2024-12-18,84.95,1.3507,1911.375,30.39075,21.610000610351562
Trades,Data,Order,Stocks,USD,MARA,"2024-12-19, 09:30:05",-400.0,22.7,20.37,9080.0,-2.54844616,-9402.200928,-324.749374,932.0,C,2024-12-19,85.12,1.3594,1932.224,30.858379999999997,20.3700008392334
Trades,Data,Order,Stocks,USD,MARA,"2024-12-24, 12:55:37",500.0,20.0,20.15,-10000.0,-2.75116,10002.75116,0.0,75.0,O,2024-12-24,85.17,1.3592,1703.4,27.183999999999997,20.149999618530273
Trades,Data,Order,Stocks,USD,MARA,"2025-01-02, 13:33:06",400.0,17.0,17.21,-6800.0,-2.19526,6802.19526,0.0,84.0,O,2025-01-02,85.76,1.3653,1457.92,23.2101,17.209999084472656
Trades,Data,Order,Stocks,USD,MARA,"2025-01-02, 14:03:05",-400.0,17.15,17.21,6860.0,-2.47550772,-9662.295889,-2804.771396,-24.0,C,2025-01-02,85.76,1.3653,1470.7839999999999,23.414894999999998,17.209999084472656
